,edgeid,coords
99,"(361495257, 1705261978)","[(1.6859145, 41.3508859), (1.686124, 41.3508478), (1.6862539, 41.3508177), (1.686528, 41.3507316), (1.6867915, 41.3506163), (1.6877661, 41.3501545)]"
100,"(367878648, 5031515424)",
101,"(367878648, 312213002)","[(1.7131403, 41.3490326), (1.7133647, 41.3489185), (1.7135839, 41.3488642), (1.7138275, 41.3488867), (1.7141105, 41.3489571)]"
102,"(367878648, 2197678603)","[(1.7131403, 41.3490326), (1.7132131, 41.3489504), (1.7132525, 41.3488978), (1.7132758, 41.3488461), (1.7132857, 41.3487972), (1.7132635, 41.3486947), (1.7132316, 41.3486412), (1.713143, 41.3485821), (1.7130373, 41.3485387), (1.7120879, 41.3483301), (1.7114767, 41.3481888), (1.71128, 41.3481547), (1.7110882, 41.3481575), (1.710991, 41.3481464)]"
103,"(367878690, 5031515424)","[(1.7120353, 41.3496258), (1.7120851, 41.3496076), (1.7121396, 41.3496005), (1.7121946, 41.3496051), (1.7122458, 41.3496209), (1.7122891, 41.3496468)]"
104,"(367878690, 5031515428)","[(1.7120353, 41.3496258), (1.7119908, 41.3496567), (1.711961, 41.3496963), (1.7119485, 41.3497408)]"
105,"(367878690, 4560845756)","[(1.7120353, 41.3496258), (1.7109914, 41.3484338), (1.7108528, 41.3482824), (1.7108207, 41.3482346)]"
106,"(367878694, 1653465671)",
107,"(367878712, 312213034)","[(1.7134885, 41.3459808), (1.7139187, 41.3466856), (1.7140463, 41.346933), (1.7141567, 41.3471452), (1.7142997, 41.3473815), (1.7145799, 41.3478076), (1.7146414, 41.3479223), (1.7147026, 41.3480473), (1.7147624, 41.3481759), (1.7148015, 41.3482846), (1.7148501, 41.3484371), (1.7148877, 41.3486434)]"
108,"(367878712, 312213099)","[(1.7134885, 41.3459808), (1.7133393, 41.3457799), (1.7131506, 41.3455258), (1.7128212, 41.3450916), (1.7126387, 41.3448569), (1.7112861, 41.3431559), (1.7093454, 41.3407327), (1.7086506, 41.3398335), (1.7083352, 41.3393716), (1.7080675, 41.338955), (1.7077671, 41.3384196)]"
109,"(367878712, 312213116)","[(1.7134885, 41.3459808), (1.7140669, 41.3467573), (1.7143305, 41.3471149), (1.7146671, 41.3475721), (1.7150363, 41.3480649), (1.7151373, 41.3481926), (1.7152397, 41.3483107), (1.7153388, 41.3484145), (1.7154959, 41.3485642), (1.7156295, 41.3486761), (1.7157723, 41.3487795), (1.7159205, 41.3488759), (1.7160925, 41.3489754), (1.716271, 41.3490676), (1.7164569, 41.3491537), (1.7166145, 41.3492167), (1.7167763, 41.3492724), (1.7169364, 41.3493216), (1.717179, 41.3493869), (1.7179951, 41.3495812), (1.7188721, 41.3497806)]"
110,"(367878712, 312213049)","[(1.7134885, 41.3459808), (1.7139461, 41.3464905), (1.7142185, 41.3467937), (1.7144515, 41.3470566), (1.7146223, 41.3472434), (1.7148358, 41.3474687), (1.7150874, 41.3477492), (1.7152466, 41.3479325), (1.7152903, 41.3479911), (1.7153393, 41.3480587), (1.7153753, 41.3480986), (1.7154313, 41.3481446), (1.7154966, 41.3481843), (1.7156127, 41.3482279)]"
111,"(367878741, 312213099)","[(1.7062497, 41.3370538), (1.7063993, 41.3370289), (1.7064602, 41.3370345), (1.7065211, 41.3370523), (1.7066649, 41.3370998), (1.706806, 41.3371773), (1.7069986, 41.3373529), (1.7072488, 41.3376089), (1.707646, 41.3382847), (1.7077671, 41.3384196)]"
112,"(367878741, 796751048)","[(1.7062497, 41.3370538), (1.7062278, 41.3371314), (1.7061849, 41.3372038), (1.7061229, 41.3372679)]"
113,"(367878741, 5476720401)","[(1.7062497, 41.3370538), (1.7062359, 41.336918), (1.7061591, 41.3367946), (1.7061041, 41.3367502)]"
114,"(367878747, 5476720567)",
115,"(367878747, 796751025)","[(1.7056023, 41.3373776), (1.7057527, 41.3373935), (1.7059026, 41.3373752)]"
116,"(367878747, 5476720303)","[(1.7056023, 41.3373776), (1.7054921, 41.3373482), (1.7053959, 41.3373)]"
117,"(367878758, 367878761)",
118,"(367878758, 5476718334)",
119,"(367878758, 489649229)",
120,"(367878761, 367878758)",
121,"(367878761, 312213243)","[(1.7056577, 41.336641), (1.7057103, 41.3365906), (1.7057486, 41.3365283), (1.7057635, 41.3364593), (1.7057661, 41.3363764), (1.7056948, 41.3361085), (1.7056612, 41.3360127), (1.7056184, 41.3359147), (1.7054463, 41.3356093), (1.7052871, 41.3354517), (1.7051165, 41.3352988), (1.7046781, 41.3350101), (1.703897, 41.3346564), (1.7036471, 41.334509)]"
122,"(367878761, 367878773)","[(1.7056577, 41.336641), (1.705851, 41.3366431), (1.705894, 41.3366479)]"
123,"(367878773, 5476720401)",
124,"(367878773, 4051842346)","[(1.705894, 41.3366479), (1.7060222, 41.3365961), (1.7061504, 41.3365236)]"
125,"(367878773, 367878761)","[(1.705894, 41.3366479), (1.705851, 41.3366431), (1.7056577, 41.336641)]"
126,"(367878778, 367878781)","[(1.7071144, 41.3357973), (1.7070935, 41.3358491), (1.7070526, 41.3358987)]"
127,"(367878778, 2203382801)","[(1.7071144, 41.3357973), (1.7072041, 41.3357933), (1.7076282, 41.3357181), (1.7077157, 41.3357162), (1.7077895, 41.33573), (1.7079541, 41.3357822), (1.7090159, 41.3365193), (1.7095059, 41.3368475)]"
128,"(367878778, 367878797)","[(1.7071144, 41.3357973), (1.7071177, 41.3357301), (1.7071017, 41.3356769), (1.7070654, 41.3356249)]"
129,"(367878781, 1540673806)","[(1.7070526, 41.3358987), (1.7069955, 41.3359394), (1.7069268, 41.3359675), (1.7068566, 41.3359804), (1.7067912, 41.3359806)]"
